,name,department,rating,total_ratings,would take again,difficulty
439,Joe Kieke,Education,0.0,0 ratings,N/A,0
440,Maria Gualdani,Mathematics,2.0,5 ratings,N/A,4.6
441,Matt Chimera,Anthropology,5.0,1 ratings,N/A,1
442,Brooke Rich,Classics,5.0,1 ratings,100%,4
443,Kim Jones,Art History,4.0,1 ratings,N/A,1
444,Jim Vick,Mathematics,2.5,1 ratings,N/A,4
445,Samuel Baker,English,3.0,4 ratings,60%,3
446,Andreana Haley,Psychology,4.0,6 ratings,100%,3.3
447,Todd Humphreys,Engineering,2.5,3 ratings,100%,4.3
448,James Vick,Mathematics,4.4,4 ratings,N/A,2.5
449,Jason Shear,Chemistry,4.5,1 ratings,100%,3
450,Joel Parker,Government,4.5,1 ratings,N/A,4
451,Timothy Moore,Classics,3.5,1 ratings,N/A,5
452,Samuel Workman,Government,3.6,20 ratings,100%,3.3
453,Kyung Park,Languages,5.0,6 ratings,100%,1.2
454,Christina Garcia,Ethnic Studies,4.0,2 ratings,N/A,2.5
455,Dan Davis,Classics,0.0,0 ratings,N/A,0
456,Billy Wood,Engineering,4.8,20 ratings,100%,1.5
457,Donald Aynesworth,French & Italian,5.0,1 ratings,N/A,4
458,Carlos Ovalle,Information Science,5.0,1 ratings,N/A,1
459,Dacy Breana,Education,0.0,0 ratings,N/A,0
460,Breana Dacy,Education,0.0,0 ratings,N/A,0
461,Rachel Mazique,English,4.5,4 ratings,N/A,3.8
462,Lifschitz Valdimir,Computer Science,2.9,7 ratings,0%,2.9
463,Arno Bohm,Physics,0.0,0 ratings,N/A,0
464,Philiip Leigh,English,3.0,1 ratings,N/A,2
465,Cynthia Buckley,Sociology,0.0,0 ratings,N/A,0
466,Andee Scott,Dance,0.0,0 ratings,N/A,0
467,Lyn Wiltshire,Dance,3.0,2 ratings,100%,3.5
468,Amanda Williams,Literature,3.7,3 ratings,100%,2
469,Mary Field,English,3.5,2 ratings,N/A,3
470,Vanessa Pattman,Chemistry,1.5,5 ratings,N/A,4.4
471,Cassidy Browning,Theater,4.8,6 ratings,N/A,1.3
472,Mary McAnelly,Biology,2.5,10 ratings,N/A,3
473,Jamie Aprile,Classics,3.0,29 ratings,0%,3.5
474,Miryung Kim,Engineering,2.5,4 ratings,N/A,3.8
475,Sean Cashbaugh,English,4.5,2 ratings,N/A,3
476,Hugh Cleve Wiese,English,4.7,3 ratings,N/A,1.7
477,Andrew Howard,Languages,4.5,1 ratings,N/A,5
478,Stephanie Somersille,Mathematics,2.0,6 ratings,N/A,3.8
479,Tania Camacho,Music,1.2,5 ratings,N/A,4.2
480,Jane Arledge,Mathematics,4.6,18 ratings,100%,2.6
481,Elizabeth Garcia,Spanish & Portuguese,2.0,1 ratings,N/A,4
482,Steve Takata,Biology,3.7,14 ratings,N/A,3.5
483,Sacha Kopp,Physics,4.3,2 ratings,N/A,3.5
484,Karen Chilstrom,Languages,4.3,2 ratings,N/A,2
485,Dustin Stewart,English,3.0,1 ratings,N/A,3
486,Katherine Arens,Women's Studies,3.8,9 ratings,100%,2.3
487,Franklin Bronson,Biology,2.9,4 ratings,N/A,3
488,Matthew Schmerer,Biology,2.0,3 ratings,N/A,4
489,William Hurst,Government,4.0,1 ratings,N/A,5
490,Angela Frederick,Sociology,4.8,2 ratings,N/A,2.5
491,Adam Hughes,Mathematics,4.8,2 ratings,N/A,2
492,Magnus Philip,Chemistry,2.5,2 ratings,N/A,3
493,Virginia Garrard Burnett,History,5.0,1 ratings,N/A,3
494,Ariane Beck,Engineering,4.5,1 ratings,N/A,3
495,Matthew Rabatin,French & Italian,5.0,1 ratings,N/A,3
496,Linda Henderson,Art History,4.6,20 ratings,85%,1.9
497,Michael Granof,Accounting,0.0,0 ratings,N/A,0
498,Malcolm Keating,Philosophy,4.0,3 ratings,N/A,3.3
499,Thomas Tweed,Religion,4.3,5 ratings,N/A,1.2
500,Lucinda Atkinson,Advertising,4.3,17 ratings,67%,2.2
501,Vanessa Williams,Chemistry,0.0,0 ratings,N/A,0
502,Evelyn Clingerman,Nursing,4.5,1 ratings,N/A,2
503,Jeffrey Haack,Mathematics,3.0,2 ratings,N/A,3
504,William Cook,Computer Science,4.5,2 ratings,100%,3
505,Anwar Sounny-Slitine,Geography,5.0,6 ratings,100%,3
506,Scott Nettles,Engineering,0.0,0 ratings,N/A,0
507,Marcus Schwartz,Law,0.0,0 ratings,N/A,0
508,George Kitto,Chemistry,1.8,2 ratings,N/A,4
509,Boris Higgins,Economics,0.0,0 ratings,N/A,0
510,Alex Grzankowski,Philosophy,4.8,2 ratings,N/A,2.5
511,Beryl Simpson,Biology,0.0,0 ratings,N/A,0
512,Karin Wilkins,Communication,5.0,4 ratings,N/A,3
513,Susan Heinzelman,English,4.0,4 ratings,N/A,3.5
514,Berrie O'Neal,Management,0.0,0 ratings,N/A,0
515,Gamze Erturk,Communication,0.0,0 ratings,N/A,0
516,Stephanie Dailey,Communication,4.6,4 ratings,N/A,4.5
517,Allyne Rogers,Classics,0.0,0 ratings,N/A,0
518,Shel Swenson,Mathematics,3.5,2 ratings,N/A,3.5
519,Itzia Oscos,Education,0.0,0 ratings,N/A,0
520,Landon Trent,History,4.8,3 ratings,N/A,3.3
521,Nicola Davies,Biology,3.2,11 ratings,100%,4.1
522,Laine Perez,English,4.5,2 ratings,N/A,2.5
523,Willy Fischler,Physics,3.7,14 ratings,88%,3.1
524,Deborah Little,Education,5.0,1 ratings,N/A,1
525,Haran Boral,Computer Science,3.0,1 ratings,N/A,4
526,W Gardener,Geology,0.0,0 ratings,N/A,0
527,Matthew Flynn,Sociology,2.2,3 ratings,N/A,3.7
528,Dimitrii Makarov,Chemistry,4.3,2 ratings,100%,1
529,Unmil Karadkar,Information Science,3.5,1 ratings,N/A,3
530,Paul Ritter,Not Specified,4.5,1 ratings,N/A,1
531,Krishnaswa Ravi-Chandar,Engineering,2.9,20 ratings,58%,3.7
532,Nikiko Masumoto,Fine Arts,4.5,1 ratings,N/A,2
533,Umut Dur,Economics,0.0,0 ratings,N/A,0
534,Erika Borden,Biology,3.6,18 ratings,0%,3.6
535,Michael French,Spanish & Portuguese,5.0,1 ratings,N/A,1
536,Sarah Dodson-Robinson,Astronomy,3.2,5 ratings,N/A,4.2
537,Hafeez Jamali,Anthropology,3.8,3 ratings,N/A,2.7
538,Aaron Hufty,Fine Arts,5.0,1 ratings,N/A,1
539,Adam Coon,Spanish & Portuguese,5.0,1 ratings,N/A,2
540,Gererd Brunick,Mathematics,4.8,2 ratings,N/A,2.5
541,Jeannette Okur,Languages,4.6,7 ratings,100%,4.2
542,Szu-Chi Huang,Marketing,3.5,1 ratings,N/A,3
543,Anna Bjurman-Pautz,Philosophy,2.5,9 ratings,N/A,3.2
544,Matthew Gildner,History,4.8,2 ratings,N/A,3.5
545,Lesley Dean-Jones,Classics,2.2,4 ratings,50%,4
546,Vincent Cicchirillo,Advertising,4.3,16 ratings,100%,2.1
547,Robert Clark,Physics,1.0,1 ratings,N/A,5
548,Katelyn Wood,Theater,4.5,1 ratings,N/A,2
549,Brett Milburn,Mathematics,1.7,3 ratings,N/A,4.3
550,Jerry Brand,Biology,3.3,12 ratings,N/A,3.3
551,Patricia Arnold,Business,3.0,1 ratings,N/A,2
552,Adnan Aziz,Engineering,2.8,3 ratings,N/A,2
553,Sven Kroener,Not Specified,4.5,1 ratings,N/A,3
554,Scott Kanoff,Theater,4.5,1 ratings,N/A,3
555,Philip Magnus,Chemistry,1.0,1 ratings,N/A,1
556,Snehal Shingavi,English,2.9,9 ratings,40%,3
557,Diane Tyler,Nursing,0.0,0 ratings,N/A,0
558,Nicholas Gaylord,Linguistics,3.8,3 ratings,N/A,2.3
559,Charles Oughton,Classics,0.0,0 ratings,N/A,0
560,Stuart Davis,Film,5.0,1 ratings,N/A,1
561,Richard Quy,Chemistry,2.5,4 ratings,N/A,3.8
562,Sarah Wagner,Linguistics,5.0,3 ratings,N/A,3
563,Mary Hines,Biology,2.1,41 ratings,20%,4.5
564,Luke Winslow,Communication,4.5,2 ratings,N/A,3
565,Rong FU,Science,4.5,1 ratings,N/A,1
566,Lazarus Pomara,Geography,2.0,1 ratings,N/A,3
567,Anne-Victoire Kountz,French & Italian,4.8,4 ratings,N/A,3.5
568,James Garrison,Not Specified,5.0,3 ratings,N/A,1.7
569,Ian Proops,Philosophy,4.1,6 ratings,50%,3
570,Sanghamitra Mohanty,Biology,3.0,2 ratings,N/A,1.5
571,John McIver,Government,2.5,27 ratings,32%,3.2
572,Terri Holbrook,Accounting,4.7,3 ratings,50%,4.3
573,Karen Akre,Biology,1.7,3 ratings,N/A,4.3
574,SI Yoon,Physical Education,5.0,1 ratings,N/A,1
575,Romeo Hinajosa Smith,English,3.5,2 ratings,N/A,5
576,Rafael Salaberry,Spanish & Portuguese,0.0,0 ratings,N/A,0
577,Elizabeth Englehardt,Not Specified,2.0,1 ratings,N/A,5
578,Allie De Beer,Not Specified,5.0,1 ratings,N/A,2
579,Abraham Zilkha,Middle Eastern Studies,0.0,0 ratings,N/A,0
580,Ekin Ozman,Mathematics,4.2,6 ratings,N/A,3
581,Fritz Hensey,Spanish & Portuguese,0.0,0 ratings,N/A,0
582,Lorenzo Candelaria,Music,5.0,6 ratings,100%,1
583,Nora Berenstain,Philosophy,4.2,7 ratings,100%,3.6
584,Olena Bormashenko,Mathematics,3.5,4 ratings,N/A,3.8
585,Tinsley Oden,Engineering,0.0,0 ratings,N/A,0
586,John Fondon,Biology,2.8,2 ratings,N/A,4.5
587,Brenda Berkelaar,Communication,2.8,5 ratings,100%,4.2
588,Thomas Adams Laborde,Languages,4.5,1 ratings,N/A,4
589,Owen Hofmann,Computer Science,0.0,0 ratings,N/A,0
590,Na'Ama Pat-El,Middle Eastern Studies,1.9,23 ratings,24%,3.8
591,Jack Ritchie,Physics,2.1,4 ratings,N/A,3.3
592,Arturo Arias,Spanish & Portuguese,1.5,3 ratings,N/A,4
593,Ji Eun Lee,Psychology,5.0,1 ratings,N/A,1
594,Teague Heather,Anthropology,1.3,2 ratings,N/A,3.5
595,Miguel Ferguson,Social Work,4.7,5 ratings,100%,2.4
596,Christine Schmidt,Engineering,0.0,0 ratings,N/A,0
597,Cagri Karakurt,Mathematics,3.0,2 ratings,N/A,2.5
598,Donald Winget,Astronomy,3.9,30 ratings,72%,2.7
599,Ronnie Liggett,Economics,0.0,0 ratings,100%,0
600,Joy Learman,Social Work,5.0,1 ratings,N/A,2
601,Sarah James,Classics,3.9,5 ratings,N/A,4
602,Francisco Barrenechea,Classics,1.3,3 ratings,N/A,5
603,Laura Stien,Communication,0.0,0 ratings,N/A,0
604,Adam Klivans,Computer Science,3.2,29 ratings,54%,3.9
605,Marvin Hackert,Chemistry,0.0,0 ratings,N/A,0
606,Daniel Young,Law,0.0,0 ratings,N/A,0
607,Diana Pulido,Education,0.0,0 ratings,N/A,0
608,Neal Daugherty,Fine Arts,4.7,7 ratings,100%,2
609,Leslie Mutchler,Fine Arts,4.9,5 ratings,100%,2.6
610,Thelma Coles,Fine Arts,0.0,0 ratings,N/A,0
611,Troy Brauntuch,Fine Arts,1.4,4 ratings,25%,3
612,Margo Sawyer,Fine Arts,2.7,5 ratings,34%,2.2
613,Jason Leubner,English,0.0,0 ratings,N/A,0
614,Kristine Hopkins,Sociology,4.5,4 ratings,N/A,3.5
615,Josh Straub,Music,3.9,4 ratings,N/A,3.3
616,Karen Engle,Law,3.8,2 ratings,N/A,3.5
617,John Zhang,Engineering,0.0,0 ratings,N/A,0
618,Joel Brereton,Religion,4.1,10 ratings,43%,2.8
619,Chris Sneden,Astronomy,2.7,21 ratings,24%,3.2
620,Elizabeth Danon-Leva,Marketing,0.0,0 ratings,N/A,0
621,"Mc Neil, S. Mc Neil",Not Specified,0.0,0 ratings,N/A,0
622,Michael Brenner,International Studies,1.5,2 ratings,N/A,3
623,Jan Musekamp,History,0.0,0 ratings,N/A,0
624,Mahyar Entezari,Middle Eastern Studies,0.0,0 ratings,N/A,0
625,Lydia Nelson,Theater,4.5,1 ratings,N/A,3
626,Kyle Schnack,Theater,5.0,1 ratings,N/A,1
627,Tandy Warnow,Computer Science,2.1,11 ratings,40%,3.9
628,John Dollard,Mathematics,4.1,6 ratings,N/A,3.2
629,Brant Pope,Theater,0.0,0 ratings,N/A,0
630,Graham McDougall,Nursing,3.5,1 ratings,N/A,1
631,Francisco Gonzalez-Lima,Psychology,2.6,9 ratings,70%,4.2
632,Raj Mukherjee,Business,4.5,1 ratings,N/A,5
633,Gail Grabson,Chemistry,0.0,0 ratings,N/A,0
634,Mien-Chie Hung,Not Specified,0.0,0 ratings,N/A,0
635,Boris Zemelman,Biology,3.8,4 ratings,100%,4
636,Lucia Osa-Melero,Spanish & Portuguese,3.7,4 ratings,100%,1.7
637,Stephanie Jue,Business,4.9,8 ratings,100%,2.4
638,Mark Smith,American Studies,4.4,7 ratings,100%,2.8
639,William Kalahurka,Mathematics,3.2,11 ratings,N/A,3.4
640,Nancy Prideaux,Not Specified,5.0,1 ratings,N/A,2
641,Sarah Zaitchik,Communication,0.0,0 ratings,N/A,0
642,Marjorie Foley,English,5.0,2 ratings,N/A,2
643,Chadee Persad,Engineering,0.0,0 ratings,N/A,0
644,Matt Tribbe,History,4.3,8 ratings,N/A,2.9
645,Jason Roberts,Languages,4.8,9 ratings,100%,2.6
646,Courtney Robinson,Social Work,5.0,3 ratings,100%,1.7
647,Michael Mogavero,Fine Arts,4.5,2 ratings,N/A,2.5
648,John (jack) Stoney,Fine Arts,4.0,7 ratings,100%,2.9
649,Tom Druecker,Fine Arts,3.5,1 ratings,N/A,5
650,Matt Guthrie,Physics,0.0,0 ratings,N/A,0
651,John (woodshop) Cobb,Fine Arts,4.0,1 ratings,N/A,2
652,Richard (sculpture Rick) Mansfield,Fine Arts,0.0,0 ratings,N/A,0
653,John P Alexander,Mathematics,0.0,0 ratings,N/A,0
654,Alexander Mamonov,Mathematics,3.7,3 ratings,N/A,3.3
655,Amila Becirbegovic,Languages,5.0,1 ratings,N/A,3
656,Luis Carcamo-Huechante,Spanish & Portuguese,4.5,1 ratings,100%,2
657,Gideon Greif,History,4.5,1 ratings,N/A,3
658,Chadi El Mohtar,Engineering,3.3,3 ratings,34%,3
659,Alexander Rand,Mathematics,4.3,2 ratings,N/A,1.5
660,Herbert Berk,Physics,2.6,9 ratings,100%,3.9
661,Melissa Demos,Italian,4.0,1 ratings,N/A,2
662,Jung-Fu Lin,Geology,3.9,11 ratings,93%,2.8
663,Laura Squires,English,4.5,1 ratings,N/A,4
664,Kathleen Barr,History,4.5,7 ratings,N/A,1.7
665,James Daniels,Theater,5.0,2 ratings,N/A,1.5
666,Elizabeth Goins,English,4.3,6 ratings,100%,3.7
667,Jesse Miller,Mathematics,2.1,87 ratings,29%,4.3
668,Michael Cucher,Ethnic Studies,4.9,5 ratings,N/A,2.8
669,Ashley Barrett,Communication,3.9,4 ratings,N/A,3.3
670,Hanna Bennett,Mathematics,3.8,3 ratings,N/A,2.3
671,Aimee Lawrence,Linguistics,4.5,1 ratings,N/A,2
672,Natashia Lindsey,Theater,4.5,2 ratings,N/A,1.5
673,Enrico Grube,Philosophy,4.3,2 ratings,N/A,4.5
674,Claire Meadows Parrish,Spanish & Portuguese,4.8,2 ratings,100%,2.5
675,Edmund Emmer,Education,0.0,0 ratings,N/A,0
676,Samuel Taylor,Mathematics,5.0,1 ratings,N/A,5
677,Beatrice Mabrey,Italian,5.0,3 ratings,N/A,2.7
678,Kerri Stephens,Communication,5.0,4 ratings,100%,2
679,Ilyas Iyoob,Engineering,0.0,0 ratings,N/A,0
680,Luis Sandoval,Spanish & Portuguese,5.0,1 ratings,N/A,1
681,Dan Lendzian,Theater,5.0,2 ratings,N/A,1.5
682,Amber O'connor,Anthropology,3.5,4 ratings,N/A,4.3
683,Chandra Muller,Sociology,1.6,4 ratings,0%,4.3
684,Jonathan MacLellan,Classics,3.3,2 ratings,100%,3.5
685,Paula Murray,Law,4.7,9 ratings,93%,2.3
686,Javier Chavez-Dominguez,Mathematics,2.6,6 ratings,0%,3.3
687,Eric Edwards,Italian,1.0,1 ratings,N/A,3
688,Christina Gutierrez,Theater,0.0,0 ratings,N/A,0
689,Sharon Strover,Film,3.6,9 ratings,34%,3.4
690,Amy Meeks,Psychology,4.0,10 ratings,100%,1.5
691,Alfred Martin,Communication,2.5,3 ratings,N/A,4.3
692,Bruce Rodenborn,Physics,3.8,2 ratings,N/A,4
693,Anna Spice,Mathematics,3.9,17 ratings,100%,3.4
694,Scott Nelson,English,4.0,1 ratings,N/A,4
695,Lokeilani Kaimana,Film,3.3,3 ratings,N/A,4.3
696,Stephen Davey,Philosophy,3.0,2 ratings,N/A,2.5
697,Michael Hillmann,Middle Eastern Studies,4.1,7 ratings,80%,2.3
698,Travis Johnson,Finance,2.9,8 ratings,43%,4
699,Fernando Charro,Mathematics,4.6,5 ratings,100%,2.8
700,David Hull,Engineering,1.5,1 ratings,N/A,5
701,Juan Colomina-Alminana,Philosophy,3.0,16 ratings,58%,2.1
702,Luis Gordo-Pelaez,Art History,4.5,3 ratings,N/A,3
703,Mark Metzler,History,3.8,5 ratings,50%,2.8
704,John Bybee,Education,3.3,3 ratings,N/A,2.3
705,William Bargmann,Biology,4.1,6 ratings,100%,3.8
706,Amy Bryan,Women's Studies,5.0,3 ratings,N/A,1
707,Tuti Alawiyah,Social Work,0.0,0 ratings,N/A,0
708,Rusty Todd,Journalism,5.0,1 ratings,100%,2
709,Jeremy Smyczek,Writing,5.0,1 ratings,N/A,1
710,Lynsey Romo,Communication,5.0,1 ratings,N/A,2
711,James Staig,Spanish & Portuguese,2.5,3 ratings,0%,3.3
712,Hervé Picherit,French & Italian,4.8,4 ratings,100%,2.7
713,James Wiedner,English,0.0,0 ratings,N/A,0
714,Michael Raney,Advisor,4.0,1 ratings,100%,2
715,Brittany Wright,Women's Studies,5.0,1 ratings,N/A,2
716,Robert Freeman,Music,1.0,1 ratings,N/A,2
717,Marilyn Pattillo,Nursing,0.0,0 ratings,N/A,0
718,David Sena,Asian Studies,2.9,7 ratings,N/A,4.4
719,Nicole Guidotti-Hernández,American Studies,3.0,4 ratings,50%,3
720,Nancy Roser,Education,0.0,0 ratings,N/A,0
721,Mathew Sturtevant,Journalism,5.0,1 ratings,N/A,4
722,François Lagarde,French & Italian,0.0,0 ratings,N/A,0
723,Michael Lopez,Education,3.8,4 ratings,100%,1.3
724,Randall Geller,Middle Eastern Studies,4.8,2 ratings,N/A,2.5
725,Ruramisai Charumbira,History,3.3,8 ratings,N/A,3.1
726,Sally Amen,Mathematics,4.2,7 ratings,100%,2.7
727,Glenn Frankel,Journalism,5.0,2 ratings,N/A,2
728,Pawan Kumar,Astronomy,3.5,16 ratings,38%,3.4
729,Marcus Payzant,Fine Arts,5.0,2 ratings,N/A,1
730,Daniel Hamermech,Economics,0.0,0 ratings,N/A,0
731,Linda Spain,Business,0.0,0 ratings,N/A,0
732,Colleen Montgomery,Film,4.3,5 ratings,67%,3.4
733,Zach Childers,Linguistics,3.5,7 ratings,25%,3.9
734,Amy Guenther,Theater,4.1,4 ratings,N/A,1.5
735,Mircea Driga,Engineering,3.7,3 ratings,N/A,3.3
736,Anne Hansen,Biology,5.0,3 ratings,100%,1
737,Ahmed Helal,Science,4.3,3 ratings,100%,1.7
738,Michael Barrett,Business,2.2,12 ratings,13%,4
739,James Loehlin,English,5.0,1 ratings,100%,3
740,Harel Shapira,Sociology,4.3,19 ratings,95%,1.8
741,Dorrel Spitzer-Hanks,Writing,4.4,3 ratings,100%,3
742,Julian Cheng,Engineering,1.5,2 ratings,N/A,4.5
743,Alex Cho,Asian Studies,5.0,1 ratings,N/A,1
744,Olson Suzan,Mathematics,1.0,2 ratings,N/A,5
745,Debra Lopez,Pharmacy,5.0,1 ratings,N/A,4
746,Kyle Miller,Biology,3.3,7 ratings,0%,3.4
747,Kristen Layton,Nursing,0.0,0 ratings,N/A,0
748,Randall Marrett,Geology,4.6,4 ratings,N/A,2.5
749,Andrew Villalon,History,3.6,5 ratings,100%,2.8
750,Suzan Olson,Mathematics,1.5,2 ratings,N/A,3.5
751,Nicole Martin,Theater,4.0,1 ratings,N/A,3
752,John La Claire,Biology,2.0,1 ratings,N/A,3
753,David Brown,Engineering,2.8,8 ratings,75%,3.4
754,Kate Green,Art History,3.8,8 ratings,50%,2.5
755,Dominique Batiste,Anthropology,5.0,2 ratings,N/A,4
756,Stefanie Leacock,Biology,4.1,14 ratings,0%,3.9
757,Brady Cox,Engineering,4.5,2 ratings,100%,3.5
758,Gerald Bart Pitchford,Theater,4.5,4 ratings,N/A,1.5
759,Hossein Namazi,Mathematics,2.5,3 ratings,N/A,3.3
760,Heather Buffington-Anderson,Music,5.0,1 ratings,N/A,1
761,Jeff Michno,Spanish & Portuguese,5.0,1 ratings,N/A,1
762,Arwa Sankari,Education,5.0,1 ratings,N/A,1
763,Kate Dawson,Journalism,5.0,2 ratings,100%,4.5
764,Kristin Wolfe Jensen,Music,5.0,3 ratings,100%,4
765,Bjorn Hegelich,Physics,1.5,10 ratings,0%,4.5
766,Ahmed Ghappour,Law,5.0,1 ratings,N/A,2
767,Robin Benzrihem,French & Italian,3.4,14 ratings,0%,3.1
768,Jake Cowan,Writing,5.0,2 ratings,N/A,1.5
769,Erin Nelson,Communication,4.0,5 ratings,N/A,3.6
770,Jeffery Johanns,Accounting,4.4,4 ratings,50%,4.2
771,Ariel Helfer,Government,3.1,6 ratings,N/A,3.8
772,Jeremy Fortier,Government,0.0,0 ratings,N/A,0
773,Jennifer Lamm,Government,3.2,19 ratings,45%,2.3
774,Simon Humphrey,Chemistry,2.6,6 ratings,34%,3.3
775,Scott Wolford,Government,4.8,6 ratings,100%,2.5
776,Kim Tallbear,Anthropology,5.0,2 ratings,N/A,3.5
777,Jordan Dospil,English,4.5,1 ratings,N/A,1
778,Hugh Daigle,Engineering,0.0,0 ratings,100%,0
779,Terri Givens,Government,4.0,1 ratings,N/A,4
780,Regina Mills,English,3.0,2 ratings,0%,3.5
781,Leah Geer,Linguistics,5.0,2 ratings,N/A,1
782,Francisco Polidoro,Management,0.0,0 ratings,N/A,0
783,Mike Lock,Mathematics,3.2,7 ratings,N/A,3
784,Michael Borden,Engineering,1.5,2 ratings,N/A,4.5
785,Matt Cohen,English,5.0,2 ratings,100%,3
786,Gary Borich,Education,1.0,1 ratings,100%,5
787,Frank Cross,Law,0.0,0 ratings,N/A,0
788,Ngoc Tran,Mathematics,2.9,4 ratings,34%,3.5
789,Jeanmarie Lord,Accounting,5.0,1 ratings,N/A,3
790,Collin Hansen,Economics,3.0,1 ratings,N/A,5
791,Regina Goodnow,Government,4.3,6 ratings,100%,2.5
792,Richard Bouchard,Engineering,0.0,0 ratings,N/A,0
793,Gregory Palmer,Biology,4.8,17 ratings,100%,2.5
794,Erin Muller,Social Science,2.5,3 ratings,N/A,3.3
795,John Mote,Management & Info Systems,2.8,8 ratings,50%,2.8
796,Jenny Fischer,Languages,5.0,1 ratings,N/A,3
797,Travis Schedler,Mathematics,0.0,0 ratings,N/A,0
798,Frank Wigham,English,3.0,1 ratings,0%,4
799,Daniel O'Toole,Government,3.0,5 ratings,N/A,3.2
800,Jason Ferrell,Psychology,4.5,8 ratings,N/A,2.9
801,Robert Cabrera,Nutrition,3.7,6 ratings,0%,3.7
802,Alexander Walthall,Classics,4.8,11 ratings,100%,2.5
803,Robert Hummer,Sociology,4.0,3 ratings,N/A,2
804,Wei-Na Lee,Advertising,2.0,6 ratings,0%,3.8
805,Chad Rea,Advertising,3.9,11 ratings,86%,3.5
806,Benjamin Wyeth,Advertising,4.6,5 ratings,N/A,1.8
807,Vijay Reddi,Engineering,3.0,2 ratings,0%,1
808,James Sham,Fine Arts,0.0,0 ratings,N/A,0
809,John Hatfield,Economics,5.0,1 ratings,100%,4
810,Johann Hofmann,Biology,0.0,0 ratings,N/A,0
811,Drew Thornley,Business,5.0,2 ratings,N/A,2.5
812,Sarah Frank,English,0.0,0 ratings,N/A,0
813,Pedro Morales,Mathematics,3.7,24 ratings,53%,3.1
814,Beau Thorne,Film,0.0,0 ratings,N/A,0
815,Sean Roberts,Chemistry,4.6,8 ratings,100%,4
816,Younghun Hong,Mathematics,2.7,12 ratings,100%,3.3
817,Christen Smith,Anthropology,4.8,6 ratings,100%,2.8
818,Sterling Allen,Fine Arts,0.0,0 ratings,N/A,0
819,Maggie Tate,Sociology,2.0,3 ratings,N/A,2.7
820,Bob Buckalew-Garcia,Journalism,4.4,6 ratings,100%,2.2
821,Aubrey Plourde,English,4.7,3 ratings,100%,2.7
822,Greg Plaxton,Computer Science,2.1,9 ratings,45%,4.2
823,Robert Dickerson,Computer Science,3.9,13 ratings,N/A,3.4
824,Jocelyn Wright,French Italian,5.0,5 ratings,100%,2.2
825,Jerod Patterson,Government,0.0,0 ratings,N/A,0
826,Leticia Hinojosa,Art History,0.0,0 ratings,N/A,0
827,Yuan He,Mathematics,2.3,32 ratings,31%,3.7
828,Susan Empson,Education,0.0,0 ratings,N/A,0
829,Oleksi Mostovyi,Mathematics,2.0,4 ratings,N/A,4
830,Luke Montzingo,Physical Education,0.0,0 ratings,N/A,0
831,Clémence Ozel,French Italian,5.0,4 ratings,100%,2.5
832,Sumit Guha,History,3.0,5 ratings,75%,3.4
833,Elizabeth Erbeznik,French Italian,4.8,5 ratings,N/A,2.8
834,Brianna Figueroa,Theater,3.7,10 ratings,N/A,2.8
835,David Kirk,Sociology,4.0,1 ratings,N/A,3
836,Samuel Wilson,Anthropology,3.6,4 ratings,100%,3.3
837,Alba Serano,Social Work,1.3,2 ratings,0%,4
838,Jonathan Campbell,Mathematics,2.7,3 ratings,N/A,4.3
839,Tammi Stout,Linguistics,3.3,2 ratings,N/A,3.5
840,Jonathan Vanderhoek,Philosophy,0.0,0 ratings,N/A,0
841,George Sudarshan,Physics,1.4,6 ratings,N/A,4.2
842,Stephen Wille,Advertising,2.8,19 ratings,54%,2.1
843,Greg Frebourg,Geology,3.0,2 ratings,100%,3
844,Jason Schroepfer,Middle Eastern Studies,4.2,5 ratings,N/A,4
845,Lisa Boucher,Biology,1.9,54 ratings,9%,4.2
846,Matt Valentine,Writing,4.5,2 ratings,100%,2.5
847,Jon Litland,Philosophy,4.3,7 ratings,100%,3.7
848,Sean Kerwin,Pharmacy,3.8,2 ratings,N/A,3
849,Hillel Ofek,Government,3.3,3 ratings,N/A,3
850,Lauren Terzenbach,Linguistics,1.9,9 ratings,N/A,4.2
851,Kyle Wrather,Communication,4.7,3 ratings,100%,2.3
852,Connie Steel,Writing,3.8,6 ratings,88%,3.3
853,Daniel Smith,Writing,4.5,1 ratings,N/A,3
854,Moon-Jin Kang,Mathematics,2.3,14 ratings,34%,3.7
855,Bryan Davies,Science,5.0,2 ratings,100%,3
856,Aimee Hosemann,Anthropology,4.8,11 ratings,N/A,1.4
857,Neal Hall,Engineering,4.6,6 ratings,100%,3.5
858,Andrew Boss,Music,0.0,0 ratings,N/A,0
859,Ryessia Jones,Communication,2.5,1 ratings,N/A,4
860,Han Li,Mathematics,0.0,0 ratings,N/A,0
861,Barbara Davis,Communication,3.0,3 ratings,0%,2.7
862,Kyle Jerro,Linguistics,4.7,4 ratings,100%,2.3
863,Lee Thompson,Computer Science,5.0,1 ratings,N/A,3
864,Scott Nelson,Writing,4.5,1 ratings,N/A,3
865,Pablo Duran Oliva,Spanish Portuguese,3.7,7 ratings,50%,3.3
866,Purnamrita Sarkar,Computer Science,3.4,3 ratings,100%,4.3
867,Caroline Thomas,Economics,3.0,8 ratings,17%,4.7
868,Jeffrey Meikle,American Studies,2.0,4 ratings,0%,4.2
869,Maegan Stephens,Business,2.8,2 ratings,100%,3.5
